0 OPEN 
2883 RULE a43f556b2e1fb19197607a50588be405_ba57e353844ab56a057b1f2d8815ea0a_5b6f7d0cf068a194466923cddc870b7e_8b4f07198655e3df5d4260d1e89cd714_5b6f7d0cf068a194466923cddc870b7e
2885 NODE 8b4f07198655e3df5d4260d1e89cd714_5b6f7d0cf068a194466923cddc870b7e
2975 RULE 1b3ac4a3e11306e0d82035f93c09b566_8b4f07198655e3df5d4260d1e89cd714_5b6f7d0cf068a194466923cddc870b7e_1b127dfc4f7871e3e9fa430d812fe5f5_5b6f7d0cf068a194466923cddc870b7e
2977 NODE 1b127dfc4f7871e3e9fa430d812fe5f5_5b6f7d0cf068a194466923cddc870b7e
3004 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_1b127dfc4f7871e3e9fa430d812fe5f5_5b6f7d0cf068a194466923cddc870b7e_3b03095b16968cc079347d15180683f1_5b6f7d0cf068a194466923cddc870b7e
3006 NODE 3b03095b16968cc079347d15180683f1_5b6f7d0cf068a194466923cddc870b7e
3035 RULE 8f01e29a73c7121737c90d629a352b5_3b03095b16968cc079347d15180683f1_5b6f7d0cf068a194466923cddc870b7e_9b932c42f16658d90cd11b589b1398a0_5b6f7d0cf068a194466923cddc870b7e
3037 NODE 9b932c42f16658d90cd11b589b1398a0_5b6f7d0cf068a194466923cddc870b7e
3129 RULE 1b3ac4a3e11306e0d82035f93c09b566_9b932c42f16658d90cd11b589b1398a0_5b6f7d0cf068a194466923cddc870b7e_83fe78d2e9e704a8915124bb025e0d68_5b6f7d0cf068a194466923cddc870b7e
3132 NODE 83fe78d2e9e704a8915124bb025e0d68_5b6f7d0cf068a194466923cddc870b7e
3180 RULE a709740f8325ab198b771451043077db_83fe78d2e9e704a8915124bb025e0d68_5b6f7d0cf068a194466923cddc870b7e_c3610abbc73015dfab8121ee76281a39_5b6f7d0cf068a194466923cddc870b7e
3183 NODE c3610abbc73015dfab8121ee76281a39_5b6f7d0cf068a194466923cddc870b7e
3223 RULE 70cc981e905ae18e1c6074578475b6a5_c3610abbc73015dfab8121ee76281a39_5b6f7d0cf068a194466923cddc870b7e_24d520604200df7eb235080a813ce861_5b6f7d0cf068a194466923cddc870b7e
3228 NODE 24d520604200df7eb235080a813ce861_5b6f7d0cf068a194466923cddc870b7e
3270 RULE 433cccb048ba21c7067c9a82da6e3286_24d520604200df7eb235080a813ce861_5b6f7d0cf068a194466923cddc870b7e_58e426d9d6288b20db1f2fcaecab0536_5b6f7d0cf068a194466923cddc870b7e
3272 NODE 58e426d9d6288b20db1f2fcaecab0536_5b6f7d0cf068a194466923cddc870b7e
3311 RULE a53a12e87c6fc763bb9ed8bd1188ff98_58e426d9d6288b20db1f2fcaecab0536_5b6f7d0cf068a194466923cddc870b7e_86b6acad8d319b3a7bfb23aabf290111_5b6f7d0cf068a194466923cddc870b7e
3313 NODE 86b6acad8d319b3a7bfb23aabf290111_5b6f7d0cf068a194466923cddc870b7e
3355 RULE d820eb40bb79466f33bf732077f800f2_86b6acad8d319b3a7bfb23aabf290111_5b6f7d0cf068a194466923cddc870b7e_58ae3bf1cbd45e9ab03152f3cb73e60_5b6f7d0cf068a194466923cddc870b7e
3357 NODE 58ae3bf1cbd45e9ab03152f3cb73e60_5b6f7d0cf068a194466923cddc870b7e
3398 RULE fcc932f6797bec5c4fa9a0919113472d_58ae3bf1cbd45e9ab03152f3cb73e60_5b6f7d0cf068a194466923cddc870b7e_727d0457dff233d31b9e64acd7175a18_5b6f7d0cf068a194466923cddc870b7e
3400 NODE 727d0457dff233d31b9e64acd7175a18_5b6f7d0cf068a194466923cddc870b7e
3439 RULE cea77a2f7339b0ebc29955a3edd3ade3_727d0457dff233d31b9e64acd7175a18_5b6f7d0cf068a194466923cddc870b7e_4ff03e78d7188f81a1efa7157bc6460b_5b6f7d0cf068a194466923cddc870b7e
3441 NODE 4ff03e78d7188f81a1efa7157bc6460b_5b6f7d0cf068a194466923cddc870b7e
3478 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_4ff03e78d7188f81a1efa7157bc6460b_5b6f7d0cf068a194466923cddc870b7e_28d569903df32b679d415da86fb5074f_5b6f7d0cf068a194466923cddc870b7e
3480 NODE 28d569903df32b679d415da86fb5074f_5b6f7d0cf068a194466923cddc870b7e
3516 RULE eda72887d51466ca12ef9fb370a5f983_28d569903df32b679d415da86fb5074f_5b6f7d0cf068a194466923cddc870b7e_42ca7d174f134186d63147cd74ea25f5_5b6f7d0cf068a194466923cddc870b7e
3518 NODE 42ca7d174f134186d63147cd74ea25f5_5b6f7d0cf068a194466923cddc870b7e
3604 RULE 1b3ac4a3e11306e0d82035f93c09b566_42ca7d174f134186d63147cd74ea25f5_5b6f7d0cf068a194466923cddc870b7e_8cb1f3f0d8b6a1874ebdab72e1cc481_5b6f7d0cf068a194466923cddc870b7e
3606 NODE 8cb1f3f0d8b6a1874ebdab72e1cc481_5b6f7d0cf068a194466923cddc870b7e
3634 RULE 810e9f9121da2b5da54a7b43a369b33_8cb1f3f0d8b6a1874ebdab72e1cc481_5b6f7d0cf068a194466923cddc870b7e_e223fdbbdcfee3439f29cbc9fc234983_5b6f7d0cf068a194466923cddc870b7e
3635 NODE e223fdbbdcfee3439f29cbc9fc234983_5b6f7d0cf068a194466923cddc870b7e
3665 RULE dbdc342f3d4f7725f91a0be890ef88eb_e223fdbbdcfee3439f29cbc9fc234983_5b6f7d0cf068a194466923cddc870b7e_b6c1ddab139748e57a966984ad33e9e6_5b6f7d0cf068a194466923cddc870b7e
3667 NODE b6c1ddab139748e57a966984ad33e9e6_5b6f7d0cf068a194466923cddc870b7e
