0 OPEN 
2591 RULE 810e9f9121da2b5da54a7b43a369b33_790b936e389574f3ab71f0632c73d2c9_58c1911eea90f13659ace26e582853fe_c20ece0924aa22f000b675dbb00f632_58c1911eea90f13659ace26e582853fe
2594 NODE c20ece0924aa22f000b675dbb00f632_58c1911eea90f13659ace26e582853fe
2630 RULE dbdc342f3d4f7725f91a0be890ef88eb_c20ece0924aa22f000b675dbb00f632_58c1911eea90f13659ace26e582853fe_eb9288590e8d76368ba44646f58eeb1c_58c1911eea90f13659ace26e582853fe
2632 NODE eb9288590e8d76368ba44646f58eeb1c_58c1911eea90f13659ace26e582853fe
2669 RULE 70cc981e905ae18e1c6074578475b6a5_eb9288590e8d76368ba44646f58eeb1c_58c1911eea90f13659ace26e582853fe_78bb4f8f4aad54be41d38dcb792842d6_58c1911eea90f13659ace26e582853fe
2673 NODE 78bb4f8f4aad54be41d38dcb792842d6_58c1911eea90f13659ace26e582853fe
2712 RULE 433cccb048ba21c7067c9a82da6e3286_78bb4f8f4aad54be41d38dcb792842d6_58c1911eea90f13659ace26e582853fe_b5ac4c7c2b8f4da1348c525a65735413_58c1911eea90f13659ace26e582853fe
2714 NODE b5ac4c7c2b8f4da1348c525a65735413_58c1911eea90f13659ace26e582853fe
2747 RULE a53a12e87c6fc763bb9ed8bd1188ff98_b5ac4c7c2b8f4da1348c525a65735413_58c1911eea90f13659ace26e582853fe_53844461a7cd59fc6052af25f47a7512_58c1911eea90f13659ace26e582853fe
2749 NODE 53844461a7cd59fc6052af25f47a7512_58c1911eea90f13659ace26e582853fe
2782 RULE d820eb40bb79466f33bf732077f800f2_53844461a7cd59fc6052af25f47a7512_58c1911eea90f13659ace26e582853fe_6d23c0fbebfebf8ce6e8560ee2e11e4_58c1911eea90f13659ace26e582853fe
2784 NODE 6d23c0fbebfebf8ce6e8560ee2e11e4_58c1911eea90f13659ace26e582853fe
2820 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_6d23c0fbebfebf8ce6e8560ee2e11e4_58c1911eea90f13659ace26e582853fe_4818571cbe6c81a059c63a06e954c66f_58c1911eea90f13659ace26e582853fe
2822 NODE 4818571cbe6c81a059c63a06e954c66f_58c1911eea90f13659ace26e582853fe
2854 RULE cea77a2f7339b0ebc29955a3edd3ade3_4818571cbe6c81a059c63a06e954c66f_58c1911eea90f13659ace26e582853fe_97689ad5e0e72a6e2bb573e30a9a1888_58c1911eea90f13659ace26e582853fe
2856 NODE 97689ad5e0e72a6e2bb573e30a9a1888_58c1911eea90f13659ace26e582853fe
2891 RULE f85c41138feb6cfd7ae68716c9def5_97689ad5e0e72a6e2bb573e30a9a1888_58c1911eea90f13659ace26e582853fe_8e94ad83862460c98ce7d5a58a6d1844_58c1911eea90f13659ace26e582853fe
2893 NODE 8e94ad83862460c98ce7d5a58a6d1844_58c1911eea90f13659ace26e582853fe
2949 RULE a43f556b2e1fb19197607a50588be405_8e94ad83862460c98ce7d5a58a6d1844_58c1911eea90f13659ace26e582853fe_ceff77c5add8ed7fcf56e8a96e8dfeca_58c1911eea90f13659ace26e582853fe
2951 NODE ceff77c5add8ed7fcf56e8a96e8dfeca_58c1911eea90f13659ace26e582853fe
3035 RULE 1b3ac4a3e11306e0d82035f93c09b566_ceff77c5add8ed7fcf56e8a96e8dfeca_58c1911eea90f13659ace26e582853fe_5ec24245faef6e0b3925d2c59dedd09_58c1911eea90f13659ace26e582853fe
3037 NODE 5ec24245faef6e0b3925d2c59dedd09_58c1911eea90f13659ace26e582853fe
3068 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_5ec24245faef6e0b3925d2c59dedd09_58c1911eea90f13659ace26e582853fe_496f5bd0156654bd1ad720b1f6fe9386_58c1911eea90f13659ace26e582853fe
3070 NODE 496f5bd0156654bd1ad720b1f6fe9386_58c1911eea90f13659ace26e582853fe
3101 RULE 8f01e29a73c7121737c90d629a352b5_496f5bd0156654bd1ad720b1f6fe9386_58c1911eea90f13659ace26e582853fe_f7269831a9662e600cbdfadce3fc16a_58c1911eea90f13659ace26e582853fe
3103 NODE f7269831a9662e600cbdfadce3fc16a_58c1911eea90f13659ace26e582853fe
3186 RULE 1b3ac4a3e11306e0d82035f93c09b566_f7269831a9662e600cbdfadce3fc16a_58c1911eea90f13659ace26e582853fe_8f87324fce06a4d6785a722e5bdab8b7_58c1911eea90f13659ace26e582853fe
3188 NODE 8f87324fce06a4d6785a722e5bdab8b7_58c1911eea90f13659ace26e582853fe
3227 RULE a709740f8325ab198b771451043077db_8f87324fce06a4d6785a722e5bdab8b7_58c1911eea90f13659ace26e582853fe_15a593044eac28042371fcbfa08fbcfd_58c1911eea90f13659ace26e582853fe
3229 NODE 15a593044eac28042371fcbfa08fbcfd_58c1911eea90f13659ace26e582853fe
3261 RULE 70cc981e905ae18e1c6074578475b6a5_15a593044eac28042371fcbfa08fbcfd_58c1911eea90f13659ace26e582853fe_f3f6a1833f55289e53f5dd437ba29334_58c1911eea90f13659ace26e582853fe
3264 NODE f3f6a1833f55289e53f5dd437ba29334_58c1911eea90f13659ace26e582853fe
3296 RULE 433cccb048ba21c7067c9a82da6e3286_f3f6a1833f55289e53f5dd437ba29334_58c1911eea90f13659ace26e582853fe_eacb71f4163fb766f20a8d05c80c1198_58c1911eea90f13659ace26e582853fe
3298 NODE eacb71f4163fb766f20a8d05c80c1198_58c1911eea90f13659ace26e582853fe
3330 RULE a53a12e87c6fc763bb9ed8bd1188ff98_eacb71f4163fb766f20a8d05c80c1198_58c1911eea90f13659ace26e582853fe_1c6e0514374b0b52f5214972948f0e4b_58c1911eea90f13659ace26e582853fe
3332 NODE 1c6e0514374b0b52f5214972948f0e4b_58c1911eea90f13659ace26e582853fe
3364 RULE d820eb40bb79466f33bf732077f800f2_1c6e0514374b0b52f5214972948f0e4b_58c1911eea90f13659ace26e582853fe_5f5b83a2a935b5dbb2357d7e56bb6f8b_58c1911eea90f13659ace26e582853fe
3366 NODE 5f5b83a2a935b5dbb2357d7e56bb6f8b_58c1911eea90f13659ace26e582853fe
3397 RULE fcc932f6797bec5c4fa9a0919113472d_5f5b83a2a935b5dbb2357d7e56bb6f8b_58c1911eea90f13659ace26e582853fe_841a001c832180a46d7380fa475f5276_58c1911eea90f13659ace26e582853fe
3399 NODE 841a001c832180a46d7380fa475f5276_58c1911eea90f13659ace26e582853fe
3430 RULE cea77a2f7339b0ebc29955a3edd3ade3_841a001c832180a46d7380fa475f5276_58c1911eea90f13659ace26e582853fe_aeb5e7e6311c7f386eb451bc9b73ac10_58c1911eea90f13659ace26e582853fe
3432 NODE aeb5e7e6311c7f386eb451bc9b73ac10_58c1911eea90f13659ace26e582853fe
3463 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_aeb5e7e6311c7f386eb451bc9b73ac10_58c1911eea90f13659ace26e582853fe_f8b5e964440552c952fd1558e9c0eeeb_58c1911eea90f13659ace26e582853fe
3465 NODE f8b5e964440552c952fd1558e9c0eeeb_58c1911eea90f13659ace26e582853fe
3497 RULE eda72887d51466ca12ef9fb370a5f983_f8b5e964440552c952fd1558e9c0eeeb_58c1911eea90f13659ace26e582853fe_2fe1b4071b2363346f1404c748e3e3c6_58c1911eea90f13659ace26e582853fe
3500 NODE 2fe1b4071b2363346f1404c748e3e3c6_58c1911eea90f13659ace26e582853fe
3588 RULE 1b3ac4a3e11306e0d82035f93c09b566_2fe1b4071b2363346f1404c748e3e3c6_58c1911eea90f13659ace26e582853fe_ac081a9fb9e3c2c6f263049a246a6e78_58c1911eea90f13659ace26e582853fe
3590 NODE ac081a9fb9e3c2c6f263049a246a6e78_58c1911eea90f13659ace26e582853fe
3622 RULE 810e9f9121da2b5da54a7b43a369b33_ac081a9fb9e3c2c6f263049a246a6e78_58c1911eea90f13659ace26e582853fe_2410f5d939fa77e96006e742519c885a_58c1911eea90f13659ace26e582853fe
3624 NODE 2410f5d939fa77e96006e742519c885a_58c1911eea90f13659ace26e582853fe
3655 RULE dbdc342f3d4f7725f91a0be890ef88eb_2410f5d939fa77e96006e742519c885a_58c1911eea90f13659ace26e582853fe_cbb00a5d806116d317fae95f112e441b_58c1911eea90f13659ace26e582853fe
3657 NODE cbb00a5d806116d317fae95f112e441b_58c1911eea90f13659ace26e582853fe
3687 RULE 70cc981e905ae18e1c6074578475b6a5_cbb00a5d806116d317fae95f112e441b_58c1911eea90f13659ace26e582853fe_59f2b4ad85e621f7402881daddd8c46e_58c1911eea90f13659ace26e582853fe
3690 NODE 59f2b4ad85e621f7402881daddd8c46e_58c1911eea90f13659ace26e582853fe
3720 RULE 433cccb048ba21c7067c9a82da6e3286_59f2b4ad85e621f7402881daddd8c46e_58c1911eea90f13659ace26e582853fe_3568d153d809012c53814da30a06dfc2_58c1911eea90f13659ace26e582853fe
3722 NODE 3568d153d809012c53814da30a06dfc2_58c1911eea90f13659ace26e582853fe
3752 RULE a53a12e87c6fc763bb9ed8bd1188ff98_3568d153d809012c53814da30a06dfc2_58c1911eea90f13659ace26e582853fe_c6ebdab0341b4adda670a65df6b5143c_58c1911eea90f13659ace26e582853fe
3754 NODE c6ebdab0341b4adda670a65df6b5143c_58c1911eea90f13659ace26e582853fe
3784 RULE d820eb40bb79466f33bf732077f800f2_c6ebdab0341b4adda670a65df6b5143c_58c1911eea90f13659ace26e582853fe_5b51164b9340737ebbfae50d6b043a56_58c1911eea90f13659ace26e582853fe
3786 NODE 5b51164b9340737ebbfae50d6b043a56_58c1911eea90f13659ace26e582853fe
3815 RULE fcc932f6797bec5c4fa9a0919113472d_5b51164b9340737ebbfae50d6b043a56_58c1911eea90f13659ace26e582853fe_1b967d2ecafc4eab668f53307e45f509_58c1911eea90f13659ace26e582853fe
3817 NODE 1b967d2ecafc4eab668f53307e45f509_58c1911eea90f13659ace26e582853fe
3847 RULE cea77a2f7339b0ebc29955a3edd3ade3_1b967d2ecafc4eab668f53307e45f509_58c1911eea90f13659ace26e582853fe_81fc99d95535fd23862966dba05d72d8_58c1911eea90f13659ace26e582853fe
3849 NODE 81fc99d95535fd23862966dba05d72d8_58c1911eea90f13659ace26e582853fe
3878 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_81fc99d95535fd23862966dba05d72d8_58c1911eea90f13659ace26e582853fe_83519047d8c57c50b4f29959d2ca0879_58c1911eea90f13659ace26e582853fe
3880 NODE 83519047d8c57c50b4f29959d2ca0879_58c1911eea90f13659ace26e582853fe
3912 RULE 44e79f6e5f7ec0e72ac752e206072049_83519047d8c57c50b4f29959d2ca0879_58c1911eea90f13659ace26e582853fe_f4b03e3eb4733d647f0abbc3cdb757d6_58c1911eea90f13659ace26e582853fe
3914 NODE f4b03e3eb4733d647f0abbc3cdb757d6_58c1911eea90f13659ace26e582853fe
3997 RULE 1b3ac4a3e11306e0d82035f93c09b566_f4b03e3eb4733d647f0abbc3cdb757d6_58c1911eea90f13659ace26e582853fe_d5ca7bfef8e3abb238dcd37195f30f46_58c1911eea90f13659ace26e582853fe
3999 NODE d5ca7bfef8e3abb238dcd37195f30f46_58c1911eea90f13659ace26e582853fe
4041 RULE 8103c8bf9e8e847e011a1bdf68fd2364_d5ca7bfef8e3abb238dcd37195f30f46_58c1911eea90f13659ace26e582853fe_b8cd80fa508b52c6c191a9caf6d31bca_58c1911eea90f13659ace26e582853fe
4046 NODE b8cd80fa508b52c6c191a9caf6d31bca_58c1911eea90f13659ace26e582853fe
4081 RULE dbdc342f3d4f7725f91a0be890ef88eb_b8cd80fa508b52c6c191a9caf6d31bca_58c1911eea90f13659ace26e582853fe_bb38f7eb42dbe002f365f0dc665c1009_58c1911eea90f13659ace26e582853fe
4083 NODE bb38f7eb42dbe002f365f0dc665c1009_58c1911eea90f13659ace26e582853fe
4114 RULE 70cc981e905ae18e1c6074578475b6a5_bb38f7eb42dbe002f365f0dc665c1009_58c1911eea90f13659ace26e582853fe_f4ca2207215afb5e092e66abf9c61630_58c1911eea90f13659ace26e582853fe
4118 NODE f4ca2207215afb5e092e66abf9c61630_58c1911eea90f13659ace26e582853fe
4148 RULE 433cccb048ba21c7067c9a82da6e3286_f4ca2207215afb5e092e66abf9c61630_58c1911eea90f13659ace26e582853fe_be5f5013cbbddb53137443c337b5be24_58c1911eea90f13659ace26e582853fe
4150 NODE be5f5013cbbddb53137443c337b5be24_58c1911eea90f13659ace26e582853fe
4182 RULE a53a12e87c6fc763bb9ed8bd1188ff98_be5f5013cbbddb53137443c337b5be24_58c1911eea90f13659ace26e582853fe_27ca2f2f8f076a09c2f0f386c65a6fb_58c1911eea90f13659ace26e582853fe
4184 NODE 27ca2f2f8f076a09c2f0f386c65a6fb_58c1911eea90f13659ace26e582853fe
4218 RULE d820eb40bb79466f33bf732077f800f2_27ca2f2f8f076a09c2f0f386c65a6fb_58c1911eea90f13659ace26e582853fe_8da52a7ec907e32b15fc73a793b084fd_58c1911eea90f13659ace26e582853fe
4220 NODE 8da52a7ec907e32b15fc73a793b084fd_58c1911eea90f13659ace26e582853fe
